Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   7.9% (used 1620 bytes from 20480 bytes)
Flash: [====      ]  37.1% (used 24320 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
	�j�4��r��b>�.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
531.93,0.00,0.00,0.01,-0.10,-170.33,141.24,0.00,0.00
532.75,0.00,0.00,0.01,-0.10,-170.33,141.26,0.00,0.00
534.05,0.00,0.00,0.01,-0.10,-170.29,141.26,0.00,0.00
535.13,0.00,0.00,0.01,-0.10,-170.31,141.24,0.00,0.00
536.50,0.00,0.00,0.01,-0.10,-170.29,141.22,0.00,0.00
537.75,0.00,0.00,0.01,-0.10,-170.22,141.28,0.00,0.00
539.08,0.00,0.00,0.01,-0.10,-170.29,141.20,0.00,0.00
539.81,0.00,0.00,0.01,-0.10,-170.24,141.20,0.00,0.00
541.12,0.00,0.00,0.01,-0.10,-170.29,141.26,0.00,0.00
542.32,0.00,0.00,0.01,-0.10,-170.35,141.28,0.00,0.00
543.57,0.00,0.00,0.01,-0.10,-170.22,141.26,0.00,0.00
544.89,0.00,0.00,0.01,-0.10,-170.27,141.24,0.00,0.00
546.17,0.00,0.00,0.01,-0.10,-170.29,141.31,0.00,0.00
546.91,0.00,0.00,0.01,-0.10,-170.33,141.26,0.00,nan
548.20,0.00,0.00,0.01,-0.10,-170.27,141.26,0.00,0.00
549.52,0.00,0.00,0.01,-0.10,-170.24,141.22,0.00,0.00
550.73,0.00,0.00,0.01,-0.10,-170.31,141.24,0.00,0.00
551.84,0.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
553.23,0.00,0.00,0.01,-0.10,-170.29,141.20,0.00,0.00
554.56,0.00,0.00,0.01,-0.10,-170.27,141.22,0.00,0.00
555.35,0.00,0.00,0.01,-0.10,-170.31,141.22,0.00,0.00
556.66,0.00,0.00,0.01,-0.10,-170.27,141.24,0.00,0.00
557.76,0.00,0.00,0.01,-0.10,-170.33,141.24,0.00,0.00
559.15,0.00,0.00,0.01,-0.10,-170.24,141.20,0.00,0.00
560.29,0.00,0.00,0.01,-0.10,-170.33,141.22,0.00,0.00
561.62,0.00,0.00,0.01,-0.10,-170.31,141.26,0.00,0.00
562.45,0.00,0.00,0.01,-0.10,-170.29,141.28,0.00,0.00
563.77,0.00,0.00,0.01,-0.10,-170.29,141.17,0.00,0.00
565.07,0.00,0.00,0.01,-0.10,-170.29,141.24,0.00,0.00
566.20,0.00,0.00,0.01,-0.10,-170.33,141.26,0.00,0.00
567.48,0.00,0.00,0.01,-0.10,-170.31,141.28,0.00,0.00
568.80,0.00,0.00,0.01,-0.10,-170.24,141.26,0.00,0.00
570.16,0.00,0.00,0.01,-0.10,-170.35,141.22,0.00,0.00
570.88,0.00,0.00,0.01,-0.10,-170.29,141.24,0.00,0.00
572.19,0.00,0.00,0.01,-0.10,-170.24,141.20,0.00,0.00
573.26,0.00,0.00,0.01,-0.10,-170.29,141.24,0.00,0.00
574.63,0.00,0.00,0.01,-0.10,-170.33,141.24,0.00,0.00
575.89,0.00,0.00,0.01,-0.10,-170.27,141.22,0.00,0.00
577.22,0.00,0.00,0.01,-0.10,-170.24,141.24,0.00,0.00
577.95,0.00,0.00,0.01,-0.10,-170.29,141.20,0.00,0.00
579.26,0.00,0.00,0.01,-0.10,-170.27,141.22,0.00,0.00
580.43,0.00,0.00,0.01,-0.10,-170.31,141.20,0.00,0.00
581.68,0.00,0.00,0.01,-0.10,-170.27,141.31,0.00,0.00
583.07,0.00,0.00,0.01,-0.10,-170.24,141.22,0.00,0.00
584.17,0.00,0.00,0.01,-0.10,-170.35,141.22,0.00,0.00
