,60.46,446.79,815.36,-433.13,0,0,16.53,-0.52,16.53,-0.52,,,,
327.43,27.38,26.55,15.61,-11.99,,,,,,,,,,
,59.23,451.71,823.6,-438.22,0,0,16.49,-0.5,16.49,-0.5,,,,
329.46,27.57,26.76,15.71,-12.17,,,,,,,,,,
,58.02,456.37,831.4,-443.03,0,0,16.45,-0.47,16.45,-0.47,,,,
331.86,27.81,27,15.83,-12.39,,,,,,,,,,
,56.46,461.98,840.79,-448.82,0,0,16.41,-0.45,16.41,-0.45,,,,
334.54,28.07,27.27,15.98,-12.62,,,,,,,,,,
,55.03,468.28,850.9,-455.34,0,0,16.35,-0.42,16.35,-0.42,,,,
336.92,28.3,27.52,16.11,-12.83,,,,,,,,,,
,53.67,473.71,860.01,-460.95,0,0,16.31,-0.39,16.31,-0.39,,,,
339.68,28.56,27.8,16.26,-13.07,,,,,,,,,,
,52.2,480.21,870.46,-467.66,0,0,16.25,-0.36,16.25,-0.36,,,,
342,28.79,28.03,16.39,-13.28,,,,,,,,,,
,50.77,485.71,879.45,-473.33,0,0,16.2,-0.33,16.2,-0.33,,,,
344.62,29.04,28.3,16.53,-13.52,,,,,,,,,,
,49.34,491.88,889.42,-479.71,0,0,16.14,-0.3,16.14,-0.3,,,,
346.92,29.27,28.54,16.65,-13.72,,,,,,,,,,
,48,497.2,898.25,-485.2,0,0,16.09,-0.28,16.09,-0.28,,,,
349.57,29.53,28.81,16.79,-13.96,,,,,,,,,,
,46.44,503.37,908.47,-491.58,0,0,16.03,-0.25,16.03,-0.25,,,,
351.85,29.75,29.04,16.91,-14.16,,,,,,,,,,
,45.01,508.62,917.33,-497,0,0,15.97,-0.22,15.97,-0.22,,,,
354.41,30,29.3,17.05,-14.39,,,,,,,,,,
,43.54,514.71,927.14,-503.28,0,0,15.91,-0.19,15.91,-0.19,,,,
356.63,30.21,29.52,17.17,-14.59,,,,,,,,,,
,42.29,519.87,935.63,-508.61,0,0,15.85,-0.17,15.85,-0.17,,,,
359.11,30.45,29.78,17.3,-14.81,,,,,,,,,,
