--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward
327.54,28.50,25.69,689.66,14.67,689.66,14.67,24.65,-26.77
329.01,28.31,26.03,691.91,6.07,691.91,6.07,25.04,-26.46
330.47,28.12,26.36,694.16,-2.46,694.16,-2.46,25.44,-26.15
331.94,27.93,26.70,696.68,-11.20,696.68,-11.20,25.84,-25.83
333.41,27.74,27.04,699.14,-19.85,699.14,-19.85,26.25,-25.50
334.89,27.55,27.39,701.71,-28.58,701.71,-28.58,26.66,-25.17
336.37,27.37,27.74,704.56,-37.30,704.56,-37.30,27.08,-24.84
337.84,27.19,28.09,707.34,-45.95,707.34,-45.95,27.50,-24.50
339.31,27.02,28.44,710.23,-54.59,710.23,-54.59,27.92,-24.15
340.79,26.84,28.80,713.24,-63.28,713.24,-63.28,28.35,-23.80
342.26,26.68,29.15,716.34,-71.88,716.34,-71.88,28.79,-23.45
343.74,26.51,29.52,719.60,-80.50,719.60,-80.50,29.23,-23.09
345.21,26.35,29.88,722.90,-89.09,722.90,-89.09,29.67,-22.73
346.68,26.19,30.25,726.23,-97.63,726.23,-97.63,30.12,-22.36
348.16,26.04,30.62,729.80,-106.28,729.80,-106.28,30.58,-21.98
349.64,25.89,30.99,733.43,-114.76,733.43,-114.76,31.04,-21.61
351.12,25.74,31.36,737.20,-123.36,737.20,-123.36,31.50,-21.22
352.59,25.60,31.74,741.06,-131.74,741.06,-131.74,31.97,-20.83
354.06,25.46,32.12,744.99,-140.19,744.99,-140.19,32.44,-20.44
355.54,25.33,32.50,749.00,-148.61,749.00,-148.61,32.92,-20.04
357.01,25.20,32.88,753.17,-156.90,753.17,-156.90,33.40,-19.64
358.48,25.08,33.26,757.51,-165.24,757.51,-165.24,33.88,-19.24
359.96,24.96,33.65,761.95,-173.53,761.95,-173.53,34.38,-18.82
361.44,24.85,34.04,766.44,-181.93,766.44,-181.93,34.88,-18.40
362.92,24.74,34.44,771.21,-190.14,771.21,-190.14,35.38,-17.98
364.41,24.63,34.84,775.93,-198.31,775.93,-198.31,35.89,-17.55
365.89,24.53,35.24,780.92,-206.47,780.92,-206.47,36.40,-17.11
367.37,24.44,35.64,785.92,-214.58,785.92,-214.58,36.92,-16.67
368.85,24.35,36.04,791.05,-222.54,791.05,-222.54,37.44,-16.23
370.33,24.27,36.45,796.38,-230.62,796.38,-230.62,37.96,-15.78
371.81,24.20,36.85,801.83,-238.46,801.83,-238.46,38.50,-15.33
373.30,24.13,37.26,807.42,-246.32,807.42,-246.32,39.03,-14.87
374.77,24.06,37.67,813.05,-254.15,813.05,-254.15,39.57,-14.41
376.25,24.00,38.09,818.90,-261.81,818.90,-261.81,40.11,-13.94
377.72,23.95,38.50,824.75,-269.42,824.75,-269.42,40.66,-13.47
379.21,23.91,38.92,830.90,-277.11,830.90,-277.11,41.22,-12.99
380.69,23.87,39.34,837.15,-284.51,837.15,-284.51,41.78,-12.51
382.17,23.84,39.76,843.44,-291.97,843.44,-291.97,42.34,-12.02
383.66,23.81,40.18,850.01,-299.33,850.01,-299.33,42.91,-11.52
385.13,23.79,40.61,856.68,-306.60,856.68,-306.60,43.48,-11.03
386.61,23.78,41.04,863.46,-313.77,863.46,-313.77,44.06,-10.52
388.09,23.77,41.46,870.31,-320.92,870.31,-320.92,44.64,-10.02
389.57,23.77,41.89,877.38,-327.91,877.38,-327.91,45.22,-9.51
391.05,23.78,42.33,884.64,-334.81,884.64,-334.81,45.82,-8.99
392.52,23.80,42.76,892.10,-341.72,892.10,-341.72,46.41,-8.47
394.00,23.82,43.19,899.44,-348.40,899.44,-348.40,47.01,-7.94
395.47,23.85,43.63,907.22,-354.95,907.22,-354.95,47.61,-7.41
396.95,23.89,44.07,915.01,-361.55,915.01,-361.55,48.22,-6.88
398.43,23.94,44.51,923.03,-368.09,923.03,-368.09,48.84,-6.33
399.91,23.99,44.95,931.09,-374.42,931.09,-374.42,49.46,-5.79
401.39,24.00,45.00,931.98,-375.06,931.98,-375.06,-72.78,102.68
402.83,24.06,45.42,939.84,-381.03,939.84,-381.03,-72.60,102.20
404.32,24.13,45.83,947.64,-386.62,947.64,-386.62,-72.40,101.69
405.81,24.20,46.22,955.16,-391.73,955.16,-391.73,-72.19,101.17
407.29,24.27,46.58,962.13,-396.49,962.13,-396.49,-71.96,100.64
408.79,24.35,46.92,969.10,-400.75,969.10,-400.75,-71.72,100.09
410.27,24.43,47.23,975.65,-404.54,975.65,-404.54,-71.47,99.53
411.76,24.52,47.53,981.87,-407.85,981.87,-407.85,-71.21,98.95
413.25,24.61,47.79,987.74,-410.69,987.74,-410.69,-70.93,98.36
414.73,24.71,48.04,993.36,-413.25,993.36,-413.25,-70.64,97.76
416.21,24.81,48.26,998.61,-415.35,998.61,-415.35,-70.34,97.14
417.70,24.91,48.47,1003.60,-416.95,1003.60,-416.95,-70.02,96.51
419.19,25.02,48.65,1008.34,-418.20,1008.34,-418.20,-69.69,95.86
420.68,25.13,48.81,1012.78,-418.96,1012.78,-418.96,-69.35,95.20
422.17,25.24,48.95,1016.93,-419.46,1016.93,-419.46,-68.99,94.52
423.66,25.36,49.07,1020.89,-419.50,1020.89,-419.50,-68.62,93.83
425.14,25.48,49.17,1024.42,-419.13,1024.42,-419.13,-68.24,93.13
426.63,25.60,49.25,1027.78,-418.36,1027.78,-418.36,-67.84,92.41
428.13,25.73,49.31,1030.83,-417.28,1030.83,-417.28,-67.43,91.68
429.62,25.86,49.35,1033.68,-415.87,1033.68,-415.87,-67.01,90.93
431.12,26.00,49.37,1036.27,-414.01,1036.27,-414.01,-66.57,90.16
432.60,26.13,49.38,1038.48,-411.83,1038.48,-411.83,-66.12,89.39
434.10,26.27,49.36,1040.61,-409.27,1040.61,-409.27,-65.66,88.60
435.59,26.42,49.33,1042.36,-406.37,1042.36,-406.37,-65.18,87.79
